x1,y1,x2,y2
580,209,601,217
561,271,579,285
601,309,622,307
659,251,672,276
672,269,693,271
612,227,613,244
581,247,584,260
571,243,576,254
598,261,611,274
564,243,568,266
636,321,648,298
665,334,678,325
652,325,652,306
685,323,696,331
680,346,690,337
681,291,697,296
642,264,665,282
703,293,711,298
702,305,719,322
694,349,715,350
706,380,721,372
724,381,739,391
730,371,757,387
744,324,750,334
743,341,760,354
753,345,764,329
770,337,769,350
775,338,784,363
750,411,764,417
768,414,782,430
770,403,785,419
783,382,808,397
803,402,811,409
813,393,826,396
829,413,847,422
834,475,856,476
863,448,881,447
872,457,897,471
878,469,905,474
843,501,864,513
852,521,870,522
866,549,888,532
894,526,896,544
937,484,952,485
980,470,993,479
1005,493,1010,514
959,497,965,513
945,502,964,522
880,508,889,518
860,491,867,498
859,501,867,506
931,516,947,517
922,539,942,552
948,528,963,539
966,546,978,555
953,570,973,576
994,570,1005,580
985,549,999,567
1005,565,1028,592
1031,576,1031,589
1055,588,1057,603
976,584,994,598
993,602,1005,619
998,626,1026,625
1035,643,1044,656
1092,701,1116,715
1099,696,1122,701
1134,709,1148,729
1146,721,1166,726
1175,699,1175,710
1109,654,1128,656
1137,660,1150,668
1139,680,1147,685
1247,739,1267,745
1245,745,1257,751
1228,779,1252,785
1218,784,1219,799
1240,805,1253,798
1304,786,1315,786
1338,791,1358,788
1123,725,1138,730
1199,727,1224,733
1279,808,1287,814
1336,803,1347,813
1324,844,1339,853
1349,822,1364,819
1369,809,1385,818
1396,779,1400,796
1400,822,1414,836
1398,836,1410,847
1398,845,1396,861
1385,876,1398,887
1425,858,1449,845
1431,899,1424,922
1439,879,1454,859
1458,894,1473,893
1360,830,1386,836
1360,835,1374,840
1483,952,1494,941
1552,944,1561,964
1504,975,1530,982
1537,972,1541,983
1539,990,1553,999
1592,996,1614,981
1597,998,1599,1009
1608,1001,1631,1001
1587,990,1588,1005
1558,1004,1570,1012
1636,1014,1640,1027
1610,1014,1621,1033
1561,1045,1581,1061
1589,1047,1600,1071
1642,1049,1659,1065
1667,1068,1685,1063
1659,1077,1680,1090
1652,1083,1670,1093
1612,1076,1617,1096
1610,1098,1613,1112
1626,1104,1633,1085
1633,1105,1646,1122
1684,1109,1690,1123
1696,1109,1708,1123
1728,1118,1744,1116
1656,1125,1681,1145
1703,1129,1711,1142
1700,1172,1721,1177
1727,1154,1739,1164
1754,1155,1769,1155
1748,1159,1762,1171
1755,1179,1778,1189
1816,1170,1814,1182
1782,1186,1794,1197
1791,1200,1806,1202
1813,1201,1836,1192
1761,1238,1780,1222
1820,1210,1838,1216
1815,1214,1829,1223
1853,1230,1861,1221
1800,1253,1828,1245
1797,1265,1822,1259
1827,1255,1849,1258
1877,1290,1888,1307
1892,1299,1906,1308
1902,1297,1919,1305
1897,1290,1920,1298
1917,1323,1923,1307
1921,1258,1930,1268
1925,1270,1938,1280
1936,1268,1958,1287
1978,1281,1980,1296
1951,1294,1974,1314
1962,1309,1965,1296
2009,1317,2031,1329
2018,1332,1997,1314
1936,1339,1953,1351
1952,1341,1973,1342
1943,1378,1944,1362
1977,1365,1994,1371
1985,1350,1997,1362
1983,1414,1991,1389
2017,1412,2032,1433
2019,1375,2039,1388
2029,1397,2048,1410
2039,1408,2058,1427
2046,1344,2066,1361
2081,1429,2097,1445
2068,1430,2094,1455
2072,1449,2069,1437
2100,1394,2121,1405
2138,1418,2154,1410
2162,1422,2170,1407
2092,1472,2100,1497
2101,1480,2123,1493
2123,1506,2142,1505
2119,1416,2139,1424
2179,1445,2193,1448
2198,1429,2205,1451
2214,1454,2215,1477
2221,1481,2231,1502
2216,1528,2231,1545
2242,1534,2257,1543
2215,1542,2230,1552
2147,1514,2165,1511
2148,1541,2157,1541
2168,1529,2172,1551
2192,1547,2210,1573
2160,1580,2180,1600
2201,1583,2213,1600
2238,1631,2249,1642
2270,1649,2292,1672
2295,1684,2312,1689
2246,1566,2260,1577
2249,1558,2261,1571
2266,1562,2274,1578
2289,1590,2304,1599
2264,1586,2276,1604
2246,1606,2266,1620
2261,1624,2275,1632
2248,1624,2259,1628
2283,1642,2291,1651
2310,1625,2327,1641
2329,1621,2344,1638
2346,1650,2359,1668
2355,1655,2366,1659
2369,1688,2383,1702
2319,1704,2337,1693
2321,1711,2338,1707
2340,1687,2349,1717
2356,1706,2362,1724
2373,1743,2380,1724
2386,1749,2390,1770
2370,1766,2379,1783
2398,1697,2413,1706
2391,1693,2391,1711
2395,1716,2402,1704
2454,1719,2472,1727
2410,1735,2437,1717
2435,1725,2439,1738
2428,1734,2436,1739
2422,1747,2431,1745
2411,1762,2418,1777
2404,1768,2426,1795
2417,1793,2425,1776
2461,1753,2462,1767
2468,1769,2481,1773
2471,1782,2472,1792
2477,1796,2498,1801
2425,1804,2445,1794
2430,1813,2444,1821
2441,1830,2462,1824
2459,1830,2462,1849
2508,1776,2518,1758
2532,1733,2537,1760
2541,1742,2552,1759
2538,1796,2548,1813
2515,1814,2537,1822
2509,1712,2514,1739
2495,1756,2503,1785
2439,1749,2450,1771
2493,1723,2484,1733
2481,1740,2489,1756
2183,1486,2190,1496
2192,1500,2209,1499
