x1,y1,x2,y2
3028,562,3058,573
3048,542,3068,538
3032,580,3061,595
2976,565,2993,584
2915,540,2930,560
2909,524,2932,528
2858,573,2872,549
2846,516,2864,526
2824,501,2852,502
2808,519,2840,526
2773,544,2804,541
2693,519,2737,526
2717,498,2760,487
2715,480,2752,475
2632,533,2659,525
2597,501,2623,511
2340,467,2379,489
2389,474,2415,451
2441,426,2471,437
2499,485,2525,471
2518,497,2545,474
2313,403,2343,414
2377,414,2399,424
2271,415,2344,447
2231,459,2268,443
2207,436,2248,431
2206,422,2237,470
2160,449,2195,450
2024,422,2047,419
2101,444,2131,434
2082,375,2107,361
2105,391,2146,354
1887,320,1921,337
1796,357,1824,368
1836,358,1870,361
1801,382,1826,409
1827,396,1879,393
1640,274,1637,306
1685,300,1695,319
1713,356,1739,322
1635,330,1661,321
1537,299,1568,306
1605,353,1632,370
1429,331,1463,343
1488,299,1506,327
1451,273,1472,258
1453,290,1497,266
1673,387,1709,380
1142,277,1180,292
1195,310,1225,300
1231,297,1255,312
1310,311,1343,304
1207,243,1225,253
1183,232,1197,250
1201,284,1244,284
1189,259,1212,280
964,243,1000,236
650,185,675,211
736,219,786,215
802,201,827,179
807,219,843,228
871,193,889,221
845,245,917,266
748,253,772,233
739,243,764,255
786,256,811,244
723,186,747,177
569,180,588,196
516,155,542,186
743,156,760,166
769,173,785,159
760,190,779,175
452,126,478,125
472,200,504,218
402,211,436,198
341,204,369,198
400,138,432,150
385,156,412,168
411,183,442,189
244,104,274,92
297,96,310,130
368,132,384,111
262,113,266,145
200,166,240,175
145,152,201,179
135,102,160,133
97,78,104,107
91,180,112,168
39,113,70,135
23,108,0,114
24,146,0,135
3050,953,3069,935
3030,942,3045,975
3001,956,3027,981
3033,1008,3063,1031
2940,963,2962,934
2938,906,2961,922
2941,982,2964,970
2892,986,2918,992
2894,967,2916,964
2885,939,2914,933
2838,924,2875,905
2812,912,2835,895
2640,869,2670,869
2673,914,2690,939
2696,911,2747,921
2776,925,2803,935
2805,950,2850,957
2802,979,2826,983
2714,992,2742,953
2691,961,2713,937
2609,960,2629,930
2607,970,2640,963
2443,927,2467,933
2495,934,2527,919
2478,852,2501,869
2612,919,2633,910
2575,883,2587,896
2424,851,2458,846
2383,842,2410,843
2264,858,2283,885
2302,892,2316,857
2365,867,2398,871
2302,909,2325,910
2166,866,2198,868
2182,883,2236,884
2055,867,2088,880
2072,851,2089,863
2099,852,2140,853
2162,821,2187,814
2167,837,2194,829
2145,793,2165,807
1975,789,1992,814
1926,863,1938,837
1920,797,1952,801
1876,785,1906,791
1952,760,1984,766
1802,751,1847,766
1840,814,1861,832
1672,791,1664,828
1700,802,1726,794
1735,811,1773,814
1685,749,1707,774
1712,730,1739,721
1563,726,1595,724
1532,702,1552,708
1402,684,1434,698
1386,734,1422,734
1435,721,1458,713
1420,762,1440,766
1466,776,1496,788
1474,741,1492,766
1450,740,1480,714
1284,691,1320,693
1206,669,1257,693
1208,685,1241,704
1253,737,1280,749
1246,760,1275,763
1295,759,1290,789
1128,676,1152,688
1117,722,1163,716
1189,706,1200,726
1169,761,1188,743
1081,644,1100,660
1019,655,1043,664
1067,711,1092,693
985,694,1021,695
1013,673,1029,719
898,728,928,709
885,703,923,697
921,679,955,678
915,644,942,642
907,629,927,631
864,637,884,655
809,656,834,670
847,682,873,688
838,653,866,670
877,673,904,661
947,645,962,661
947,630,961,640
651,667,680,686
690,666,720,682
688,640,718,663
742,681,768,699
472,663,496,671
550,666,586,672
571,636,596,640
526,605,548,613
788,607,819,600
813,631,836,616
746,627,769,623
768,633,761,655
303,662,344,671
298,617,317,645
262,614,296,599
259,565,288,570
192,575,204,595
134,555,159,553
134,578,166,602
104,579,111,605
55,628,57,652
86,626,112,661
52,593,78,605
11,598,49,605
1,575,22,586
354,625,343,650
324,613,330,637
