x1,y1,x2,y2
666,567,683,562
678,546,694,554
682,535,697,548
706,541,712,555
717,545,725,563
742,553,755,554
737,557,749,561
734,563,751,575
772,573,775,590
780,571,789,579
703,570,722,579
697,579,708,583
674,592,698,589
689,604,716,597
728,597,749,597
737,604,745,604
736,616,743,624
756,611,776,613
764,626,785,635
782,623,793,632
820,624,834,632
807,627,821,632
793,621,805,631
817,595,831,610
836,603,850,611
801,637,820,643
786,643,795,649
811,652,831,644
643,635,646,663
649,656,653,650
661,644,665,661
674,647,685,648
690,664,698,672
705,666,713,676
714,684,741,659
697,687,712,699
739,684,748,684
754,679,762,685
720,702,731,692
729,702,747,694
733,709,765,697
767,723,776,732
779,701,786,706
782,693,792,695
798,692,812,708
822,697,832,700
819,715,836,707
825,721,840,717
791,721,800,721
815,732,826,731
825,742,832,736
838,753,856,754
828,652,844,653
845,644,857,648
859,633,870,632
858,643,874,657
849,659,866,663
894,662,904,670
923,658,950,652
924,682,944,667
893,673,914,679
940,697,959,688
968,676,980,681
985,658,992,667
852,718,871,730
858,742,870,740
875,747,886,760
874,766,892,770
892,759,901,774
895,739,905,742
911,769,921,772
924,761,926,773
933,768,946,788
924,749,942,761
938,751,957,760
970,771,983,758
984,773,990,769
986,789,1001,768
1003,803,1003,787
1021,783,1034,783
991,756,1003,755
979,703,1008,708
992,696,1000,701
994,687,1012,687
1014,675,1018,681
1015,667,1027,675
1039,672,1056,688
1062,693,1074,695
1019,699,1045,700
1042,708,1060,704
1019,715,1038,713
1062,715,1069,707
1071,703,1084,706
1079,700,1101,703
1078,721,1096,714
1100,718,1106,705
1117,691,1127,693
1121,712,1134,704
1098,725,1115,722
1106,732,1124,731
1143,726,1164,735
1171,724,1180,724
1163,698,1177,706
1183,737,1197,739
1199,745,1208,731
1202,749,1220,746
1160,746,1178,755
1032,772,1056,761
1038,775,1061,768
1044,782,1063,779
1057,806,1069,810
1092,789,1111,796
1121,803,1133,807
1093,798,1097,816
1106,808,1123,824
1131,827,1156,819
1159,834,1170,839
1154,802,1177,804
1182,811,1193,809
1165,812,1179,817
1147,791,1162,786
1208,802,1229,801
1117,784,1136,794
1192,823,1208,816
1218,825,1231,834
1234,822,1241,820
1241,830,1265,831
1270,828,1280,833
1204,848,1216,844
1228,846,1239,869
1248,856,1264,860
1283,847,1296,854
1307,861,1326,863
1297,843,1319,857
1285,864,1308,866
1307,834,1322,840
1214,759,1235,769
1242,722,1252,725
1250,750,1269,726
1264,744,1292,747
1308,761,1311,741
1265,763,1279,749
1241,763,1260,772
1316,789,1329,790
1331,795,1348,785
1361,786,1364,773
1326,809,1347,796
1381,807,1390,814
1386,823,1410,831
1404,816,1412,820
1416,805,1429,808
1460,804,1480,800
1463,817,1482,805
1495,824,1504,816
1522,822,1527,811
1456,834,1492,814
1457,842,1472,840
1411,916,1429,921
1422,904,1428,904
1388,879,1395,888
1359,897,1377,897
1359,860,1373,869
1357,864,1365,885
1351,873,1355,887
1351,901,1341,877
1399,857,1418,867
1409,876,1432,876
1457,907,1474,903
1503,909,1521,905
1504,915,1513,915
1498,925,1517,921
1480,898,1500,896
1315,882,1335,894
1332,879,1335,890
1313,890,1326,893
1475,937,1489,939
1493,936,1509,947
1513,943,1521,957
1525,955,1535,935
1549,960,1567,959
1613,994,1631,995
1586,963,1602,970
1600,982,1615,966
1656,966,1671,959
1677,967,1700,970
1700,981,1711,982
1680,994,1695,989
1669,970,1675,986
1705,1026,1717,1006
1598,928,1603,943
1582,914,1584,933
1576,942,1586,942
1546,935,1552,939
1731,988,1745,980
1751,1017,1766,1006
1744,994,1758,990
1764,1032,1771,1018
1773,1036,1789,1049
1778,1013,1789,1010
1775,1006,1779,992
1757,1038,1770,1047
1799,1023,1824,1043
1802,1018,1817,1024
1825,1063,1832,1043
1849,1034,1862,1030
1848,1058,1866,1077
1848,1074,1865,1085
1876,1080,1888,1093
1889,1051,1923,1045
1926,1053,1934,1066
1922,1056,1922,1080
1910,1076,1919,1088
1923,1096,1934,1105
1940,1077,1949,1053
1958,1072,1971,1055
1968,1063,1968,1072
1981,1067,2000,1063
1991,1083,1990,1072
1954,1097,1985,1092
1978,1107,1987,1107
1993,1109,2003,1097
2017,1078,2027,1055
2034,1067,2054,1056
2021,1089,2035,1079
2033,1101,2045,1087
2036,1113,2046,1112
2053,1081,2066,1116
2063,1083,2071,1102
2078,1117,2087,1114
2092,1105,2112,1096
2080,1086,2101,1097
2081,1079,2090,1087
2112,1091,2110,1078
2125,1106,2123,1128
2142,1123,2152,1138
2148,1112,2170,1118
2171,1111,2187,1109
2181,1127,2205,1125
2156,1102,2196,1102
2203,1094,2214,1093
2180,1091,2191,1090
2143,1094,2159,1095
2132,1085,2164,1089
2190,1151,2207,1133
2212,1127,2212,1120
2221,1116,2239,1133
2208,1153,2208,1141
2220,1146,2224,1131
2205,1109,2239,1102
2262,1110,2279,1106
2270,1114,2289,1110
2280,1115,2279,1124
2268,1121,2275,1125
2248,1155,2260,1143
2266,1133,2281,1130
2274,1144,2291,1135
2253,1174,2265,1150
2273,1150,2282,1152
2266,1167,2268,1158
2254,1125,2268,1128
2281,1172,2289,1185
2299,1181,2316,1179
2303,1170,2311,1154
2322,1137,2334,1154
2341,1145,2357,1157
2351,1138,2362,1152
2363,1159,2379,1161
2358,1164,2369,1174
2304,1153,2310,1145
2336,1171,2346,1183
2333,1191,2354,1188
2361,1197,2376,1203
2377,1187,2388,1196
2351,1134,2363,1141
2366,1138,2377,1143
2388,1143,2403,1146
2405,1153,2419,1155
2412,1164,2427,1164
2432,1160,2443,1162
2459,1166,2470,1169
2386,1168,2405,1173
2410,1174,2425,1169
2431,1175,2451,1180
2460,1176,2479,1181
2407,1181,2429,1185
2418,1201,2425,1192
2428,1205,2442,1191
2446,1206,2463,1199
2466,1186,2479,1202
2467,1215,2479,1222
2490,1222,2516,1225
2499,1199,2517,1195
2491,1187,2502,1183
2503,1176,2511,1176
2531,1186,2550,1187
2544,1193,2565,1200
2546,1200,2559,1200
2537,1201,2560,1207
2514,1207,2535,1206
2514,1217,2541,1211
2554,1236,2566,1221
2575,1239,2567,1228
2565,1215,2579,1201
2574,1215,2585,1219
2598,1207,2601,1218
2591,1225,2607,1218
2600,1227,2615,1227
2590,1233,2612,1233
2596,1240,2607,1240
2617,1256,2626,1251
2628,1244,2641,1230
2623,1218,2643,1226
2648,1249,2661,1260
2648,1264,2662,1265
2672,1265,2681,1275
2689,1277,2707,1286
2686,1286,2696,1285
2711,1277,2730,1277
2701,1262,2718,1270
2715,1257,2732,1260
2670,1251,2684,1247
2678,1255,2685,1260
2692,1253,2709,1257
2675,1242,2695,1242
2675,1232,2699,1239
2726,1250,2724,1234
2711,1231,2719,1234
2673,1221,2696,1221
2708,1222,2714,1226
2715,1210,2731,1221
2659,1214,2670,1210
2633,1215,2643,1211
2617,1209,2632,1205
2699,1233,2706,1248
2687,1209,2706,1214
2730,1169,2741,1165
2752,1164,2766,1170
2739,1156,2753,1153
2730,1130,2748,1137
2706,1134,2723,1130
2709,1138,2728,1137
2716,1155,2744,1145
2711,1167,2730,1157
2707,1169,2721,1171
2733,1185,2750,1184
2732,1177,2738,1176
2685,1170,2698,1172
2694,1177,2710,1174
2685,1163,2700,1158
2681,1157,2693,1152
2673,1147,2687,1147
2690,1129,2699,1141
2705,1145,2720,1146
2677,1133,2692,1148
2640,1150,2662,1149
2668,1175,2676,1174
2645,1157,2661,1162
2635,1159,2654,1171
2620,1162,2628,1159
2606,1163,2624,1157
2595,1136,2613,1139
2614,1126,2628,1139
2621,1122,2635,1127
2593,1113,2605,1126
2567,1135,2590,1129
2562,1144,2575,1143
2565,1151,2578,1158
2581,1163,2593,1151
2548,1151,2566,1159
2548,1159,2561,1163
2497,1143,2509,1148
2497,1138,2508,1134
2503,1129,2513,1132
2510,1141,2523,1133
2528,1135,2536,1126
2537,1116,2549,1107
2532,1097,2522,1125
2491,1113,2500,1122
2465,1123,2485,1121
2452,1135,2469,1133
2433,1124,2450,1123
2435,1105,2442,1109
2449,1091,2467,1087
2414,1088,2426,1083
2408,1106,2428,1106
2421,1117,2432,1117
2405,1119,2418,1125
2384,1095,2399,1110
2367,1104,2373,1115
2353,1101,2362,1112
2342,1085,2373,1085
2364,1062,2374,1070
2385,1066,2404,1058
2330,1070,2332,1089
2313,1070,2324,1068
2309,1041,2332,1041
2325,1049,2331,1060
2343,1053,2351,1046
2323,1045,2318,1055
