x1,y1,x2,y2
647,299,662,304
639,311,646,319
634,315,642,321
627,359,637,363
636,369,655,374
629,374,647,379
660,325,656,338
666,334,671,344
675,331,688,338
675,323,687,326
645,362,656,365
691,350,709,356
694,364,705,374
674,385,686,392
711,364,727,372
729,368,739,370
714,374,724,377
659,369,669,377
689,403,718,419
717,409,724,420
706,418,713,422
703,422,713,429
744,401,750,403
760,411,770,413
731,384,740,388
724,389,732,391
734,463,749,471
750,455,761,462
750,446,762,454
772,423,782,437
784,418,791,424
782,407,792,413
807,420,818,423
800,421,804,429
811,435,820,437
825,441,834,444
796,430,807,439
799,443,807,452
773,465,787,479
788,462,798,467
785,468,796,477
805,476,812,475
800,482,809,486
811,482,822,488
826,448,860,462
861,469,882,482
892,485,903,488
922,505,941,513
919,515,935,519
903,504,911,511
877,535,887,546
866,522,878,527
869,514,881,521
943,522,955,535
957,523,969,532
944,534,952,546
906,545,916,555
896,574,915,575
923,568,934,578
981,553,996,553
997,546,1007,544
832,504,844,506
839,512,860,522
937,570,948,577
951,583,964,587
952,588,961,603
950,605,972,628
922,594,932,595
967,604,969,614
978,618,989,630
990,616,999,631
1007,629,1009,639
1018,636,1039,641
1004,565,1016,567
1029,572,1050,578
1031,615,1045,622
1051,619,1058,625
1066,623,1083,628
1053,571,1071,576
1081,585,1095,588
1054,586,1071,591
1110,617,1133,628
1123,666,1137,671
1125,614,1143,624
1175,638,1187,644
1172,651,1181,650
1210,657,1217,660
1205,662,1221,669
1150,666,1166,668
1182,680,1194,683
1176,688,1189,687
1178,706,1197,708
1195,697,1204,702
1201,692,1211,701
1252,680,1263,689
1269,675,1284,681
1211,695,1230,711
1227,718,1248,724
1234,707,1249,715
1240,702,1248,708
1258,729,1273,726
1273,734,1282,730
1250,730,1267,738
1293,734,1310,736
1302,741,1316,748
1319,733,1330,733
1304,691,1314,693
1325,706,1338,704
1334,711,1343,712
1361,716,1375,726
1389,728,1401,724
1340,754,1353,760
1357,767,1365,771
1368,784,1384,785
1354,727,1384,732
1386,737,1384,749
1390,746,1400,749
1400,741,1407,731
1403,755,1414,755
1427,748,1436,756
1459,757,1468,762
1472,772,1483,772
1486,770,1500,771
1485,783,1512,785
1531,769,1548,783
1438,802,1452,811
1459,814,1469,811
1477,808,1488,810
1403,791,1415,793
1494,808,1505,811
1530,823,1538,829
1525,829,1539,840
1527,789,1534,792
1549,794,1559,800
1458,779,1467,780
1572,798,1583,805
1562,860,1575,859
1590,834,1603,842
1379,774,1394,784
1589,859,1603,871
1587,872,1598,882
1613,878,1620,882
1611,887,1618,892
1629,885,1634,894
1620,894,1630,895
1629,908,1642,915
1648,868,1657,875
1665,860,1675,871
1683,878,1691,889
1696,887,1704,891
1714,909,1729,904
1733,920,1746,929
1701,948,1714,956
1711,915,1723,924
1707,942,1725,956
1749,941,1755,949
1744,963,1755,969
1771,949,1779,958
1771,981,1784,983
1795,964,1808,975
1809,953,1821,957
1792,1019,1794,1028
1803,1022,1816,1028
1793,1004,1803,1014
1799,1000,1819,1017
1826,972,1835,974
1837,981,1848,985
1825,984,1835,988
1843,992,1855,996
1857,1002,1871,1005
1855,1008,1865,1012
1879,1008,1889,1015
1893,1004,1901,1012
1886,1022,1897,1023
1912,1023,1929,1035
1927,1042,1943,1044
1902,1026,1911,1030
1920,1067,1935,1067
1933,1076,1944,1076
1938,1050,1954,1056
1952,1042,1964,1045
1969,1054,1986,1055
1967,1061,1977,1073
1995,1075,2009,1080
1956,1108,1965,1118
1967,1106,1980,1116
2020,1092,2030,1098
2024,1105,2032,1108
2001,1089,2005,1100
2009,1167,2009,1177
2025,1183,2038,1165
2021,1191,2033,1187
2027,1113,2049,1134
2058,1130,2068,1140
2084,1153,2096,1162
2072,1189,2091,1200
2129,1174,2139,1181
2150,1166,2163,1176
2199,1206,2204,1193
2123,1185,2143,1193
2122,1219,2140,1226
2146,1254,2150,1235
2154,1201,2166,1209
2181,1213,2190,1221
2170,1236,2178,1241
2207,1228,2223,1236
2216,1227,2227,1230
2194,1270,2203,1277
2208,1264,2218,1273
2234,1251,2247,1262
2255,1255,2254,1247
2261,1239,2271,1248
2284,1278,2295,1287
2282,1284,2294,1298
2278,1322,2292,1330
2341,1317,2354,1322
2425,1358,2441,1361
2479,1390,2493,1402
2452,1404,2453,1419
2463,1407,2464,1419
2442,1372,2455,1377
2676,1513,2688,1518
2622,1490,2630,1496
2638,1501,2644,1506
2681,1594,2697,1603
2714,1603,2733,1609
2754,1581,2763,1589
2679,1529,2690,1536
813,509,828,514
1290,697,1316,707
