x,y
2249,0
2244,10
2239,18
2233,26
2230,31
2223,38
2218,44
2212,49
2206,54
2198,60
2193,66
2187,73
2182,79
2176,86
2170,90
2166,96
2161,103
2156,110
2151,117
2147,125
2144,133
2141,140
2138,148
2136,156
2133,165
2129,174
2125,182
2122,189
2118,197
2114,204
2108,212
2102,218
2097,226
2090,232
2084,241
2077,249
2069,259
2062,269
2056,278
2051,287
2045,296
2039,305
2032,314
2024,322
2017,330
2011,338
2004,346
1997,353
1990,361
1983,369
1978,377
1970,384
1963,391
1958,398
1953,405
1949,412
1946,420
1944,430
1939,438
1936,446
1932,454
1927,462
1922,469
1918,475
1913,483
1908,490
1902,498
1896,505
1889,511
1884,516
1877,521
1872,527
1866,534
1861,542
1856,551
1849,560
1843,570
1837,580
1831,587
1826,595
1821,602
1817,609
1813,616
1809,625
1804,635
1800,644
1797,652
1793,660
1789,667
1785,674
1780,682
1775,689
1769,697
1762,704
1756,712
1748,720
1740,727
1733,734
1728,740
1721,746
1716,753
1710,759
1706,767
1700,775
1694,782
1688,789
1682,796
1675,803
1668,811
1662,818
1655,826
1649,834
1642,843
1637,850
1630,857
1623,865
1616,874
1608,883
1604,891
1598,899
1593,909
1588,919
1583,929
1579,939
1575,951
1573,963
1571,975
1568,985
1565,998
1562,1008
1558,1018
1553,1025
1548,1036
1542,1043
1536,1050
1530,1058
1521,1066
1513,1075
1507,1082
1500,1090
1493,1098
1488,1108
1484,1117
1480,1127
1477,1141
1472,1152
1466,1166
1460,1182
1453,1195
1446,1210
1440,1222
1434,1235
1426,1246
1418,1259
1411,1272
1402,1285
1394,1296
1386,1307
1380,1318
1374,1328
1368,1340
1362,1351
1355,1364
1349,1377
1342,1390
1336,1404
1330,1417
1324,1429
1318,1443
1310,1455
1303,1466
1295,1479
1287,1491
1278,1506
1271,1520
1265,1532
1261,1543
1256,1555
1253,1569
1250,1583
1246,1593
1243,1609
1237,1622
1231,1633
1225,1644
1220,1652
1215,1665
1209,1674
1203,1687
1196,1697
1190,1706
1183,1715
1177,1725
1170,1732
1165,1739
1158,1747
1150,1757
1143,1766
1136,1774
1129,1783
1123,1792
1116,1801
1111,1812
1107,1822
1102,1830
1098,1839
1092,1845
1085,1855
1080,1864
1072,1871
1065,1878
1058,1885
1049,1887
1040,1890
1033,1894
1027,1899
1021,1903
1015,1908
1011,1913
1007,1918
1002,1923
998,1928
994,1933
991,1938
989,1944
986,1948
984,1953
980,1958
977,1963
973,1969
969,1974
966,1979
963,1984
959,1989
956,1996
951,2002
947,2009
943,2016
940,2022
936,2029
933,2034
929,2040
925,2046
