x,y
1902,0
1892,17
1882,31
1873,46
1863,62
1853,77
1843,90
1835,104
1827,120
1819,134
1809,150
1803,163
1795,175
1787,189
1777,202
1771,215
1765,227
1757,244
1748,260
1739,276
1731,289
1721,304
1713,320
1704,337
1694,353
1686,367
1677,381
1671,395
1663,407
1657,419
1647,433
1641,449
1634,464
1626,480
1617,495
1611,509
1605,523
1597,539
1589,558
1578,572
1570,585
1564,597
1558,610
1550,619
1545,633
1538,645
1532,657
1524,671
1518,684
1511,698
1505,710
1498,722
1494,734
1488,745
1484,756
1478,769
1473,780
1466,791
1462,801
1457,810
1452,821
1446,831
1441,840
1436,849
1431,858
1428,867
1424,875
1419,885
1415,893
1411,902
1408,912
1404,921
1400,929
1395,937
1391,947
1385,962
1380,974
1374,986
1369,997
1364,1009
1358,1020
1352,1035
1347,1047
1341,1059
1332,1081
1325,1097
1320,1110
1314,1122
1308,1136
1300,1155
1293,1172
1286,1186
1279,1203
1272,1218
1266,1234
1261,1249
1255,1262
1251,1275
1246,1290
1239,1306
1231,1322
1223,1341
1215,1359
1207,1378
1202,1392
1196,1406
1191,1419
1187,1432
1183,1447
1178,1461
1173,1476
1168,1492
1163,1508
1158,1522
1152,1541
1144,1557
1137,1574
1130,1592
1124,1609
1117,1631
1111,1647
1106,1663
1100,1678
1094,1694
1088,1709
1084,1722
1081,1735
1077,1753
1070,1771
1064,1788
1057,1807
1051,1824
1045,1841
1040,1859
1035,1876
1029,1895
1024,1912
1018,1929
1013,1947
1009,1965
1004,1985
999,2004
994,2020
992,2035
985,2047
