x,y
1535,666
1520,667
1504,666
1487,666
1470,665
1452,663
1433,659
1413,657
1396,656
1376,655
1358,654
1341,651
1323,649
1303,646
1284,644
1269,643
1253,643
1237,642
1220,641
1203,640
1183,639
1167,638
1148,637
1128,636
1105,634
1085,631
1068,629
1048,626
1026,622
1003,620
982,619
959,618
934,617
908,616
887,617
865,616
843,613
820,612
801,613
781,613
762,613
741,614
720,616
702,620
687,625
670,627
654,628
638,627
621,623
603,620
586,618
569,618
552,619
536,623
519,624
503,625
486,624
470,620
453,616
436,612
419,608
400,607
379,604
363,601
345,596
329,593
314,589
302,584
286,580
270,576
256,574
243,573
227,570
210,570
194,566
177,563
163,558
147,554
131,550
114,549
103,547
86,545
71,542
56,542
41,541
25,540
