x,y
641,600
646,601
651,602
654,603
658,605
662,606
666,608
671,609
676,611
681,613
685,615
689,618
693,619
697,621
702,622
707,623
711,626
715,627
720,629
724,631
729,633
734,635
738,637
741,639
744,641
747,643
750,644
753,646
757,649
760,651
764,653
768,655
772,658
777,660
782,662
786,664
789,664
794,664
798,665
803,665
807,666
812,667
816,667
820,668
824,670
828,670
832,670
835,672
838,674
841,676
844,679
848,681
852,683
855,686
859,688
862,691
865,693
868,694
872,696
875,698
879,699
883,702
887,704
892,706
896,707
899,709
904,710
909,711
914,713
918,716
922,717
927,718
932,719
937,721
942,722
946,722
950,723
954,724
958,724
962,725
966,726
970,726
974,726
978,727
981,728
986,729
991,731
996,732
1000,733
1005,734
1010,734
1014,735
1018,735
1023,735
1028,736
1032,736
1036,737
1041,738
1045,738
1049,739
1054,739
1058,740
1062,740
1066,741
1070,742
1075,743
1078,744
1082,745
1086,746
1091,747
1095,748
1099,749
1103,750
1108,750
1112,752
1116,753
1121,754
1125,755
1129,756
1133,757
1137,759
1141,760
1145,761
1149,762
1153,763
1157,765
1161,767
1167,768
1172,770
1177,772
1182,773
1187,775
1192,777
1197,779
1202,781
1208,782
1212,784
1217,785
1222,787
1227,788
1232,789
1236,791
1241,792
1245,793
1250,795
1254,796
1259,797
1264,799
1269,801
1274,802
1278,803
1283,805
1288,806
1294,808
1299,810
1303,811
1307,812
1310,814
1313,816
1317,818
1320,820
1324,822
1328,824
1332,826
1335,828
1338,829
1343,830
1348,832
1353,833
1357,834
1362,834
1367,836
1371,836
1376,837
1381,838
1387,839
1393,840
1398,842
1403,843
1408,845
1413,846
1417,848
1421,850
1425,852
1429,854
1433,856
1438,857
1442,860
1447,862
1452,863
1457,865
1462,866
1467,868
1472,869
1476,871
1480,872
1485,873
1490,875
1495,876
1498,877
1502,878
1507,880
1511,881
1515,881
1519,882
1524,882
1528,883
1532,885
1536,886
1541,887
1545,888
1550,889
1554,890
1559,890
1563,891
1569,892
1574,893
1579,894
1584,894
1588,895
1592,897
1596,898
1600,900
1603,903
1608,904
1613,906
1618,909
1622,912
1626,915
1630,917
1635,919
1639,921
1643,923
1647,925
1652,927
1656,929
1660,930
1663,931
1667,933
1670,936
1674,937
1678,939
1680,941
1684,942
1689,944
1695,946
1700,947
1705,949
1711,951
1717,952
1722,953
1727,954
1732,955
1737,956
1741,958
1745,959
1751,961
1757,962
1761,964
1765,967
1769,970
1774,973
1779,976
1784,979
1788,982
1793,985
1798,988
1803,991
1807,994
1812,996
1816,999
1821,1001
1826,1004
1830,1005
1834,1006
1838,1008
1842,1009
1846,1010
1850,1012
1855,1013
1860,1015
1866,1017
1871,1018
1877,1020
1882,1022
1888,1023
1894,1025
1900,1026
1907,1028
1913,1029
1920,1031
1927,1032
1935,1034
1943,1035
1950,1037
1957,1038
1965,1039
1972,1040
1979,1040
1986,1041
1993,1041
1999,1042
2005,1043
2011,1043
2017,1044
2024,1044
2029,1045
2034,1044
2039,1044
2045,1044
2050,1045
2056,1046
2061,1047
2067,1048
2073,1050
2079,1052
2085,1054
2091,1056
2096,1057
2102,1058
2107,1060
2112,1062
2118,1064
2124,1066
2130,1067
2136,1068
2142,1069
2147,1070
2153,1071
2158,1071
2164,1072
2169,1073
2175,1074
2181,1075
2185,1076
2190,1077
2196,1079
2201,1080
2206,1081
2211,1082
2216,1083
2221,1084
2227,1085
2233,1086
2238,1087
2243,1088
2249,1088
2253,1090
2259,1091
2265,1092
2270,1093
2275,1095
2281,1096
2287,1097
2293,1099
2299,1101
2304,1103
2309,1104
2315,1106
2321,1107
2326,1109
2333,1111
2338,1113
2344,1115
2350,1117
2356,1119
2361,1120
2367,1122
2373,1124
2379,1126
2385,1128
2390,1131
2396,1133
2401,1134
2406,1135
2412,1136
2418,1138
2424,1140
2430,1141
2436,1143
2442,1144
2448,1146
2453,1146
2459,1148
2465,1148
2472,1150
2479,1151
2485,1153
2491,1154
2496,1156
2501,1159
2508,1161
2515,1162
2521,1164
2526,1167
2531,1169
2536,1170
2540,1172
2545,1173
2551,1175
2557,1177
2565,1179
2572,1180
2579,1181
2587,1182
2594,1182
2601,1182
2608,1183
2614,1184
2620,1185
2626,1186
2631,1187
2637,1187
2642,1188
2648,1188
2653,1190
2659,1190
2666,1191
2673,1191
2679,1191
2685,1192
2689,1192
2695,1192
2700,1192
2705,1192
2711,1192
2717,1193
2722,1194
2727,1194
2732,1194
2737,1195
2742,1196
2747,1196
2752,1197
2758,1199
