x,y
574,229
585,236
596,244
606,251
613,256
624,264
634,272
643,280
653,287
662,294
670,301
679,308
689,315
698,321
707,328
716,334
724,342
732,349
740,358
747,366
755,372
763,379
769,386
777,393
783,399
790,406
797,412
804,418
813,426
821,433
827,438
833,444
839,450
845,456
852,462
859,469
866,476
872,483
879,489
885,494
891,500
898,505
905,511
913,517
920,522
927,528
935,533
943,540
951,546
959,553
966,559
971,565
977,571
983,576
990,581
997,587
1003,593
1008,599
1016,605
1022,611
1029,616
1035,621
1041,625
1049,631
1056,636
1062,641
1069,646
1075,652
1082,657
1090,664
1098,671
1105,677
1111,682
1119,687
1127,693
1137,699
1147,704
1155,710
1163,715
1171,720
1178,724
1185,729
1193,733
1202,738
1210,742
1216,746
1225,751
1234,758
1240,764
1245,769
1253,775
1261,781
1271,788
1278,794
1285,800
1294,805
1303,810
1312,816
1322,822
1331,829
1340,835
1348,840
1356,844
1362,848
1369,853
1374,858
1381,862
1388,866
1400,872
1411,878
1422,885
1434,890
1445,896
1457,902
1467,907
1476,913
1484,919
1493,926
1503,933
1513,939
1521,946
1530,952
1537,958
1543,965
1550,971
1557,978
1563,985
1568,993
1574,1001
1580,1009
1586,1018
1590,1024
1598,1034
1607,1044
1615,1052
1624,1062
1632,1071
1639,1080
1645,1088
1652,1098
1661,1107
1668,1115
1676,1123
1684,1131
1692,1139
1699,1145
1706,1152
1712,1158
1720,1164
1726,1170
1732,1176
1740,1182
1747,1188
1755,1193
1763,1199
1772,1204
1781,1208
1791,1212
1799,1216
1806,1220
1813,1224
1820,1228
1826,1231
1833,1234
1839,1237
1845,1241
1852,1244
1859,1247
1864,1251
1870,1255
1877,1258
1881,1263
1887,1267
1893,1271
1899,1276
1905,1280
1912,1283
1918,1287
1926,1293
1932,1298
1940,1304
1948,1310
1956,1316
1964,1322
1974,1330
1983,1337
1992,1343
2002,1350
2013,1357
2021,1364
2028,1369
2039,1377
2047,1383
2055,1389
2064,1395
2073,1400
2080,1406
2088,1411
2095,1416
2101,1422
2110,1428
2118,1434
2125,1442
2131,1448
2138,1456
2145,1465
2152,1473
2157,1481
2163,1488
2169,1496
2175,1504
2181,1514
2188,1523
2195,1533
2203,1543
2211,1553
2220,1562
2230,1572
2240,1581
2249,1591
2257,1600
2267,1609
2277,1618
2284,1629
2294,1637
2304,1645
2314,1652
2325,1660
2336,1670
2345,1677
2354,1686
2363,1696
2371,1705
2380,1714
2388,1725
2396,1735
2405,1744
2415,1753
2425,1761
2434,1770
2444,1779
2453,1789
2463,1800
2474,1811
2484,1820
2494,1830
2501,1839
