x,y
3071,996
3066,999
3061,1003
3056,1006
3050,1011
3044,1014
3040,1017
3036,1020
3030,1024
3024,1028
3019,1032
3014,1035
3008,1039
3003,1043
2998,1046
2993,1050
2989,1052
2984,1055
2980,1057
2976,1061
2972,1063
2969,1066
2965,1069
2961,1072
2956,1076
2949,1080
2943,1084
2938,1087
2933,1090
2929,1093
2924,1096
2920,1099
2915,1102
2911,1105
2906,1108
2901,1110
2898,1114
2894,1117
2890,1120
2885,1123
2880,1126
2876,1129
2872,1132
2867,1135
2862,1138
2857,1142
2852,1145
2847,1148
2842,1151
2837,1155
2832,1159
2827,1163
2823,1167
2819,1169
2814,1172
2808,1176
2803,1180
2798,1183
2793,1186
2788,1190
2782,1194
2777,1197
2772,1201
2769,1204
2765,1207
2760,1211
2756,1215
2750,1219
2744,1223
2737,1228
2729,1233
2722,1238
2715,1243
2709,1248
2701,1253
2695,1257
2689,1261
2682,1266
2676,1271
2669,1276
2663,1282
2658,1285
2652,1290
2645,1294
2639,1298
2632,1303
2625,1308
2619,1313
2613,1317
2607,1322
2601,1326
2596,1330
2589,1335
2584,1339
2578,1341
2573,1344
2568,1348
2562,1351
2557,1355
2551,1359
2545,1363
2539,1367
2533,1370
2527,1374
2522,1379
2516,1383
2510,1388
2504,1392
2498,1396
2492,1401
2486,1406
2480,1410
2474,1413
2468,1417
2463,1421
2457,1425
2452,1429
2446,1432
2440,1437
2435,1441
2427,1447
2420,1451
2414,1455
2409,1459
2404,1463
2399,1466
2393,1469
2389,1473
2383,1477
2379,1481
2373,1484
2367,1489
2362,1492
2358,1496
2352,1500
2348,1502
2344,1505
2339,1508
2335,1512
2331,1515
2326,1518
2321,1522
2316,1525
2311,1529
2306,1532
2301,1535
2297,1539
2292,1542
2286,1546
2282,1550
2276,1554
2271,1557
2266,1561
2261,1565
2255,1568
2249,1572
2244,1576
2239,1580
2234,1584
2228,1588
2222,1592
2216,1596
2212,1600
2208,1603
2203,1607
2198,1610
2194,1614
2189,1617
2184,1620
2180,1623
2176,1626
2172,1629
2169,1632
2165,1634
2161,1637
2157,1640
2152,1643
2147,1647
2143,1650
2139,1653
2134,1657
2129,1660
2125,1664
2121,1667
2116,1670
2112,1673
2108,1676
2103,1679
2097,1683
2092,1687
2087,1690
2082,1694
2077,1698
2072,1701
2067,1705
2061,1708
2056,1712
2050,1716
2045,1719
2039,1723
2032,1729
2026,1733
2018,1737
2013,1742
2007,1746
2001,1751
1996,1755
1990,1760
1984,1764
1978,1768
1971,1773
1963,1777
1958,1782
1952,1788
1944,1793
1938,1798
1931,1802
1924,1807
1916,1814
1910,1820
1902,1823
1896,1828
1890,1833
1884,1838
1879,1842
1872,1847
1865,1852
1859,1857
1853,1862
1845,1864
1838,1868
1832,1873
1824,1879
1817,1883
1812,1888
1806,1893
1799,1897
1794,1901
1789,1905
1782,1911
1775,1916
1768,1922
1762,1926
